station,valid,tmpc,relh,drct,sped,p01m
TEX,2023-10-01 00:15,16.00,21.53,120.00,8.05,0.00
TEX,2023-10-01 00:35,16.00,21.53,160.00,11.50,0.00
TEX,2023-10-01 00:55,16.00,18.46,190.00,9.20,0.00
TEX,2023-10-01 01:15,17.00,17.32,200.00,26.45,0.00
TEX,2023-10-01 01:35,15.00,22.95,170.00,11.50,0.00
TEX,2023-10-01 01:55,15.00,22.95,140.00,9.20,0.00
TEX,2023-10-01 02:15,15.00,22.95,270.00,4.60,0.00
TEX,2023-10-01 02:35,15.00,22.95,0.00,0.00,0.00
TEX,2023-10-01 02:55,15.00,22.95,0.00,0.00,0.00
TEX,2023-10-01 03:15,14.00,24.49,0.00,0.00,0.00
TEX,2023-10-01 03:35,15.00,24.76,150.00,5.75,0.00
TEX,2023-10-01 03:55,15.00,24.76,160.00,8.05,0.00
TEX,2023-10-01 04:15,15.00,21.26,170.00,9.20,0.00
TEX,2023-10-01 04:35,16.00,21.53,150.00,12.65,0.00
TEX,2023-10-01 04:55,15.00,22.95,120.00,9.20,0.00
TEX,2023-10-01 05:15,15.00,22.95,160.00,10.35,0.00
TEX,2023-10-01 05:35,15.00,21.26,180.00,18.40,0.00
TEX,2023-10-01 05:55,15.00,21.26,170.00,12.65,0.00
TEX,2023-10-01 06:15,15.00,21.26,150.00,17.25,0.00
TEX,2023-10-01 06:35,15.00,21.26,170.00,12.65,0.00
TEX,2023-10-01 06:55,15.00,21.26,160.00,19.55,0.00
TEX,2023-10-01 07:15,14.00,22.68,170.00,18.40,0.00
TEX,2023-10-01 07:35,14.00,22.68,170.00,17.25,0.00
TEX,2023-10-01 07:55,14.00,24.49,150.00,9.20,0.00
TEX,2023-10-01 08:15,13.00,28.20,170.00,19.55,0.00
TEX,2023-10-01 08:35,13.00,28.20,160.00,21.85,0.00
TEX,2023-10-01 08:55,13.00,28.20,170.00,20.70,0.00
TEX,2023-10-01 09:15,13.00,28.20,160.00,16.10,0.00
TEX,2023-10-01 09:35,13.00,26.13,150.00,25.30,0.00
TEX,2023-10-01 09:55,12.00,27.91,170.00,8.05,0.00
TEX,2023-10-01 10:15,12.00,30.11,130.00,13.80,0.00
TEX,2023-10-01 10:35,12.00,34.98,170.00,20.70,0.00
TEX,2023-10-01 10:55,12.00,37.67,160.00,14.95,0.00
TEX,2023-10-01 11:15,12.00,37.67,160.00,14.95,0.00
TEX,2023-10-01 11:35,12.00,37.67,140.00,16.10,0.00
TEX,2023-10-01 11:55,12.00,37.67,190.00,10.35,0.00
TEX,2023-10-01 12:15,12.00,37.67,160.00,18.40,0.00
TEX,2023-10-01 12:35,12.00,37.67,170.00,20.70,0.00
TEX,2023-10-01 12:55,12.00,40.54,160.00,13.80,0.00
TEX,2023-10-01 13:15,12.00,37.67,170.00,20.70,0.00
TEX,2023-10-01 13:35,12.00,40.54,150.00,19.55,0.00
TEX,2023-10-01 13:55,12.00,37.67,150.00,23.00,0.00
TEX,2023-10-01 14:15,12.00,37.67,180.00,11.50,0.00
TEX,2023-10-01 14:35,12.00,40.54,210.00,17.25,0.00
TEX,2023-10-01 14:55,12.00,37.67,160.00,19.55,0.00
TEX,2023-10-01 15:15,13.00,35.28,160.00,27.60,0.00
TEX,2023-10-01 15:35,12.00,37.67,180.00,25.30,0.00
TEX,2023-10-01 15:55,13.00,35.28,150.00,25.30,0.00
TEX,2023-10-01 16:15,13.00,30.40,170.00,24.15,0.00
TEX,2023-10-01 16:35,13.00,30.40,170.00,24.15,0.00
TEX,2023-10-01 16:55,14.00,24.49,150.00,21.85,0.00
TEX,2023-10-01 17:15,14.00,26.42,140.00,32.20,0.00
TEX,2023-10-01 17:35,15.00,22.95,150.00,21.85,0.00
TEX,2023-10-01 17:55,15.00,24.76,160.00,24.15,0.00
TEX,2023-10-01 18:15,15.00,24.76,150.00,20.70,0.00
TEX,2023-10-01 18:35,15.00,21.26,150.00,29.90,0.00
TEX,2023-10-01 18:55,15.00,19.68,160.00,20.70,0.00
TEX,2023-10-01 19:15,16.00,18.46,160.00,23.00,0.00
TEX,2023-10-01 19:35,16.00,18.46,150.00,14.95,0.00
TEX,2023-10-01 19:55,16.00,19.94,140.00,21.85,0.00
TEX,2023-10-01 20:15,16.00,19.94,160.00,14.95,0.00
TEX,2023-10-01 20:35,16.00,19.94,140.00,17.25,0.00
TEX,2023-10-01 20:55,16.00,18.46,160.00,26.45,0.00
TEX,2023-10-01 21:15,16.00,21.53,140.00,14.95,0.00
TEX,2023-10-01 21:35,15.00,24.76,180.00,16.10,0.00
TEX,2023-10-01 21:55,14.00,35.57,150.00,10.35,0.00
TEX,2023-10-01 22:15,15.00,30.98,130.00,12.65,0.00
TEX,2023-10-01 22:35,15.00,30.98,140.00,12.65,0.00
TEX,2023-10-01 22:55,15.00,30.98,140.00,9.20,0.00
TEX,2023-10-01 23:15,14.00,30.69,150.00,18.40,0.00
TEX,2023-10-01 23:35,15.00,26.70,140.00,12.65,0.00
TEX,2023-10-01 23:55,14.00,28.48,150.00,13.80,0.00
TEX,2023-10-02 00:15,13.00,35.28,160.00,23.00,0.00
TEX,2023-10-02 00:35,14.00,28.48,160.00,12.65,0.00
TEX,2023-10-02 00:55,13.00,28.20,160.00,13.80,0.00
TEX,2023-10-02 01:15,14.00,26.42,160.00,10.35,0.00
TEX,2023-10-02 01:35,14.00,26.42,180.00,11.50,0.00
TEX,2023-10-02 01:55,14.00,24.49,190.00,10.35,0.00
TEX,2023-10-02 02:15,14.00,22.68,160.00,12.65,0.00
TEX,2023-10-02 02:35,15.00,21.26,180.00,6.90,0.00
TEX,2023-10-02 02:55,14.00,22.68,200.00,5.75,0.00
TEX,2023-10-02 03:15,14.00,22.68,160.00,19.55,0.00
TEX,2023-10-02 03:35,13.00,28.20,150.00,16.10,0.00
TEX,2023-10-02 03:55,13.00,26.13,130.00,8.05,0.00
TEX,2023-10-02 04:15,13.00,28.20,150.00,21.85,0.00
TEX,2023-10-02 04:35,11.00,43.32,140.00,10.35,0.00
TEX,2023-10-02 04:55,11.00,43.32,150.00,14.95,0.00
TEX,2023-10-02 05:15,11.00,46.59,140.00,11.50,0.00
