station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
TEX,2023-10-01 00:15,60.80,21.20,21.53,120.00,7.00,0.00,30.12,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,60.80,KTEX 010015Z AUTO 12007KT 10SM SCT110 16/M06 A3012 RMK AO2 LTG DSNT SE,M
TEX,2023-10-01 00:35,60.80,21.20,21.53,160.00,10.00,0.00,30.14,M,10.00,17.00,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,60.80,KTEX 010035Z AUTO 16010G17KT 10SM SCT110 16/M06 A3014 RMK AO2 LTG DSNT SE AND S,M
TEX,2023-10-01 00:55,60.80,17.60,18.46,190.00,8.00,0.00,30.14,M,10.00,19.00,SCT,SCT,M,M,9000.00,12000.00,M,M,VCTS,M,M,M,M,M,M,60.80,KTEX 010055Z AUTO 19008G19KT 130V210 10SM VCTS SCT090 SCT120 16/M08 A3014 RMK AO2 LTG DSNT SE AND S,M
TEX,2023-10-01 01:15,62.60,17.60,17.32,200.00,23.00,0.00,30.15,M,10.00,40.00,BKN,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,62.60,KTEX 010115Z AUTO 20023G40KT 180V260 10SM BKN100 17/M08 A3015 RMK AO2 LTG DSNT S,M
TEX,2023-10-01 01:35,59.00,21.20,22.95,170.00,10.00,0.00,30.14,M,10.00,15.00,SCT,SCT,BKN,M,5500.00,7000.00,11000.00,M,M,M,M,M,M,M,M,59.00,KTEX 010135Z AUTO 17010G15KT 130V200 10SM SCT055 SCT070 BKN110 15/M06 A3014 RMK AO2,M
TEX,2023-10-01 01:55,59.00,21.20,22.95,140.00,8.00,0.00,30.13,M,10.00,14.00,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,59.00,KTEX 010155Z AUTO 14008G14KT 10SM SCT110 15/M06 A3013 RMK AO2 LTG DSNT SE,M
TEX,2023-10-01 02:15,59.00,21.20,22.95,270.00,4.00,0.00,30.14,M,10.00,M,SCT,M,M,M,10000.00,M,M,M,TS,M,M,M,M,M,M,59.00,KTEX 010215Z AUTO 27004KT 10SM TS SCT100 15/M06 A3014 RMK AO2 LTG DSNT SE,M
TEX,2023-10-01 02:35,59.00,21.20,22.95,0.00,0.00,0.00,30.14,M,10.00,M,BKN,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,59.00,KTEX 010235Z AUTO 00000KT 10SM BKN100 15/M06 A3014 RMK AO2 LTG DSNT SE,M
TEX,2023-10-01 02:55,59.00,21.20,22.95,0.00,0.00,0.00,30.14,M,10.00,M,BKN,M,M,M,10000.00,M,M,M,VCTS,M,M,M,M,M,M,59.00,KTEX 010255Z AUTO 00000KT 10SM VCTS BKN100 15/M06 A3014 RMK AO2 LTG DSNT SE,M
TEX,2023-10-01 03:15,57.20,21.20,24.49,0.00,0.00,0.00,30.14,M,10.00,M,SCT,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,57.20,KTEX 010315Z AUTO 00000KT 10SM SCT100 14/M06 A3014 RMK AO2 LTG DSNT E,M
TEX,2023-10-01 03:35,59.00,23.00,24.76,150.00,5.00,0.00,30.14,M,10.00,14.00,SCT,SCT,M,M,8000.00,10000.00,M,M,M,M,M,M,M,M,M,59.00,KTEX 010335Z AUTO 15005G14KT 10SM SCT080 SCT100 15/M05 A3014 RMK AO2 LTG DSNT SE,M
