time,value,unit_of_measure
9/30/2024,75.5,ft^3/s
9/29/2024,75.9,ft^3/s
9/28/2024,77.3,ft^3/s
9/27/2024,77.7,ft^3/s
9/26/2024,78.4,ft^3/s
9/25/2024,80.4,ft^3/s
9/24/2024,82.8,ft^3/s
9/23/2024,87.5,ft^3/s
9/22/2024,90.8,ft^3/s
9/21/2024,83.2,ft^3/s
9/20/2024,82.3,ft^3/s
9/19/2024,86.7,ft^3/s
9/18/2024,96.5,ft^3/s
9/17/2024,96.9,ft^3/s
9/16/2024,87,ft^3/s
9/15/2024,81.4,ft^3/s
9/14/2024,83.3,ft^3/s
9/13/2024,89.3,ft^3/s
9/12/2024,94.8,ft^3/s
9/11/2024,97.3,ft^3/s
9/10/2024,98,ft^3/s
9/9/2024,104,ft^3/s
9/8/2024,106,ft^3/s
9/7/2024,108,ft^3/s
9/6/2024,111,ft^3/s
9/5/2024,115,ft^3/s
9/4/2024,121,ft^3/s
9/3/2024,143,ft^3/s
9/2/2024,155,ft^3/s
9/1/2024,163,ft^3/s
8/31/2024,173,ft^3/s
8/30/2024,191,ft^3/s
8/29/2024,203,ft^3/s
8/28/2024,207,ft^3/s
8/27/2024,249,ft^3/s
8/26/2024,387,ft^3/s
8/25/2024,221,ft^3/s
8/24/2024,196,ft^3/s
8/23/2024,165,ft^3/s
8/22/2024,174,ft^3/s
8/21/2024,136,ft^3/s
8/20/2024,156,ft^3/s
8/19/2024,163,ft^3/s
8/18/2024,164,ft^3/s
8/17/2024,145,ft^3/s
8/16/2024,175,ft^3/s
8/15/2024,203,ft^3/s
8/14/2024,262,ft^3/s
8/13/2024,210,ft^3/s
8/12/2024,236,ft^3/s
8/11/2024,172,ft^3/s
8/10/2024,178,ft^3/s
8/9/2024,90,ft^3/s
8/8/2024,83.7,ft^3/s
8/7/2024,84.6,ft^3/s
8/6/2024,85.3,ft^3/s
8/5/2024,83.4,ft^3/s
8/4/2024,81.5,ft^3/s
8/3/2024,83.1,ft^3/s
8/2/2024,83.5,ft^3/s
8/1/2024,86.8,ft^3/s
7/31/2024,90.3,ft^3/s
7/30/2024,93.5,ft^3/s
7/29/2024,105,ft^3/s
7/28/2024,110,ft^3/s
7/27/2024,115,ft^3/s
7/26/2024,117,ft^3/s
7/25/2024,118,ft^3/s
7/24/2024,124,ft^3/s
7/23/2024,133,ft^3/s
7/22/2024,145,ft^3/s
7/21/2024,152,ft^3/s
7/20/2024,157,ft^3/s
7/19/2024,177,ft^3/s
7/18/2024,174,ft^3/s
7/17/2024,175,ft^3/s
7/16/2024,177,ft^3/s
7/15/2024,196,ft^3/s
7/14/2024,203,ft^3/s
