station,valid,tmpc,dwpc,p01m,snowdepth,hourly_melt
TEX,NA,16,-6.00,0,M,22.11
TEX,NA,16,-6.00,0,M,22.11
TEX,NA,16,-8.00,0,M,22.11
TEX,NA,17,-8.00,0,M,24.119999999999997
TEX,NA,15,-6.00,0,M,20.099999999999998
TEX,NA,15,-6.00,0,M,20.099999999999998
TEX,NA,15,-6.00,0,M,20.099999999999998
TEX,NA,15,-6.00,0,M,20.099999999999998
TEX,NA,15,-6.00,0,M,20.099999999999998
TEX,NA,14,-6.00,0,M,18.089999999999996
TEX,NA,15,-5.00,0,M,20.099999999999998
TEX,NA,15,-5.00,0,M,20.099999999999998
TEX,NA,15,-7.00,0,M,20.099999999999998
TEX,NA,16,-6.00,0,M,22.11
TEX,NA,15,-6.00,0,M,20.099999999999998
TEX,NA,15,-6.00,0,M,20.099999999999998
TEX,NA,15,-7.00,0,M,20.099999999999998
TEX,NA,15,-7.00,0,M,20.099999999999998
TEX,NA,15,-7.00,0,M,20.099999999999998
TEX,NA,15,-7.00,0,M,20.099999999999998
TEX,NA,15,-7.00,0,M,20.099999999999998
TEX,NA,14,-7.00,0,M,18.089999999999996
TEX,NA,14,-7.00,0,M,18.089999999999996
TEX,NA,14,-6.00,0,M,18.089999999999996
TEX,NA,13,-5.00,0,M,16.08
TEX,NA,13,-5.00,0,M,16.08
TEX,NA,13,-5.00,0,M,16.08
TEX,NA,13,-5.00,0,M,16.08
TEX,NA,13,-6.00,0,M,16.08
TEX,NA,12,-6.00,0,M,14.069999999999999
TEX,NA,12,-5.00,0,M,14.069999999999999
TEX,NA,12,-3.00,0,M,14.069999999999999
TEX,NA,12,-2.00,0,M,14.069999999999999
TEX,NA,12,-2.00,0,M,14.069999999999999
TEX,NA,12,-2.00,0,M,14.069999999999999
TEX,NA,12,-2.00,0,M,14.069999999999999
TEX,NA,12,-2.00,0,M,14.069999999999999
TEX,NA,12,-2.00,0,M,14.069999999999999
TEX,NA,12,-1.00,0,M,14.069999999999999
TEX,NA,12,-2.00,0,M,14.069999999999999
TEX,NA,12,-1.00,0,M,14.069999999999999
TEX,NA,12,-2.00,0,M,14.069999999999999
TEX,NA,12,-2.00,0,M,14.069999999999999
TEX,NA,12,-1.00,0,M,14.069999999999999
TEX,NA,12,-2.00,0,M,14.069999999999999
TEX,NA,13,-2.00,0,M,16.08
TEX,NA,12,-2.00,0,M,14.069999999999999
TEX,NA,13,-2.00,0,M,16.08
TEX,NA,13,-4.00,0,M,16.08
TEX,NA,13,-4.00,0,M,16.08
TEX,NA,14,-6.00,0,M,18.089999999999996
TEX,NA,14,-5.00,0,M,18.089999999999996
TEX,NA,15,-6.00,0,M,20.099999999999998
TEX,NA,15,-5.00,0,M,20.099999999999998
TEX,NA,15,-5.00,0,M,20.099999999999998
TEX,NA,15,-7.00,0,M,20.099999999999998
TEX,NA,15,-8.00,0,M,20.099999999999998
TEX,NA,16,-8.00,0,M,22.11
TEX,NA,16,-8.00,0,M,22.11
TEX,NA,16,-7.00,0,M,22.11
TEX,NA,16,-7.00,0,M,22.11
TEX,NA,16,-7.00,0,M,22.11
TEX,NA,16,-8.00,0,M,22.11
TEX,NA,16,-6.00,0,M,22.11
TEX,NA,15,-5.00,0,M,20.099999999999998
TEX,NA,14,-1.00,0,M,18.089999999999996
TEX,NA,15,-2.00,0,M,20.099999999999998
TEX,NA,15,-2.00,0,M,20.099999999999998
TEX,NA,15,-2.00,0,M,20.099999999999998
TEX,NA,14,-3.00,0,M,18.089999999999996
TEX,NA,15,-4.00,0,M,20.099999999999998
TEX,NA,14,-4.00,0,M,18.089999999999996
TEX,NA,13,-2.00,0,M,16.08
TEX,NA,14,-4.00,0,M,18.089999999999996
TEX,NA,13,-5.00,0,M,16.08
TEX,NA,14,-5.00,0,M,18.089999999999996
TEX,NA,14,-5.00,0,M,18.089999999999996
TEX,NA,14,-6.00,0,M,18.089999999999996
TEX,NA,14,-7.00,0,M,18.089999999999996
TEX,NA,15,-7.00,0,M,20.099999999999998
TEX,NA,14,-7.00,0,M,18.089999999999996
TEX,NA,14,-7.00,0,M,18.089999999999996
TEX,NA,13,-5.00,0,M,16.08
TEX,NA,13,-6.00,0,M,16.08
TEX,NA,13,-5.00,0,M,16.08
TEX,NA,11,-1.00,0,M,12.059999999999999
TEX,NA,11,-1.00,0,M,12.059999999999999
TEX,NA,11,0.00,0,M,12.059999999999999
TEX,NA,10,0.00,0,M,10.049999999999999
TEX,NA,10,0.00,0,M,10.049999999999999
TEX,NA,8,2.00,0,M,6.029999999999999
TEX,NA,8,1.00,0,M,6.029999999999999
TEX,NA,8,2.00,0,M,6.029999999999999
TEX,NA,7,2.00,0,M,4.02
TEX,NA,8,2.00,0,M,6.029999999999999
TEX,NA,8,1.00,0,M,6.029999999999999
TEX,NA,8,2.00,0,M,6.029999999999999
TEX,NA,9,2.00,0,M,8.04
TEX,NA,8,2.00,0.25,M,6.029999999999999
TEX,NA,7,3.00,0,M,4.02
TEX,NA,7,3.00,0.25,M,4.02
TEX,NA,8,2.00,0.25,M,6.029999999999999
TEX,NA,9,2.00,0.25,M,8.04
TEX,NA,9,2.00,0.25,M,8.04
TEX,NA,10,2.00,0.25,M,10.049999999999999
TEX,NA,10,1.00,0.25,M,10.049999999999999
TEX,NA,10,1.00,0.25,M,10.049999999999999
TEX,NA,10,1.00,0.25,M,10.049999999999999
TEX,NA,11,0.00,0,M,12.059999999999999
TEX,NA,11,0.00,0,M,12.059999999999999
TEX,NA,11,0.00,0,M,12.059999999999999
TEX,NA,11,0.00,0,M,12.059999999999999
TEX,NA,11,0.00,0,M,12.059999999999999
TEX,NA,11,0.00,0,M,12.059999999999999
TEX,NA,10,0.00,0,M,10.049999999999999
TEX,NA,10,1.00,0,M,10.049999999999999
TEX,NA,10,1.00,0,M,10.049999999999999
TEX,NA,8,0.00,0,M,6.029999999999999
TEX,NA,8,1.00,0.25,M,6.029999999999999
TEX,NA,8,2.00,0.25,M,6.029999999999999
TEX,NA,10,1.00,0.25,M,10.049999999999999
TEX,NA,7,2.00,0.25,M,4.02
TEX,NA,7,3.00,0.25,M,4.02
TEX,NA,10,3.00,0.25,M,10.049999999999999
TEX,NA,11,1.00,0.25,M,12.059999999999999
TEX,NA,11,0.00,0.25,M,12.059999999999999
TEX,NA,11,1.00,0.25,M,12.059999999999999
TEX,NA,11,0.00,0.25,M,12.059999999999999
TEX,NA,11,0.00,0.25,M,12.059999999999999
TEX,NA,7,1.00,0.25,M,4.02
TEX,NA,7,3.00,0.25,M,4.02
TEX,NA,10,2.00,0.51,M,10.049999999999999
TEX,NA,8,2.00,0,M,6.029999999999999
TEX,NA,7,2.00,0,M,4.02
TEX,NA,7,1.00,0,M,4.02
TEX,NA,7,1.00,0.25,M,4.02
TEX,NA,6,1.00,0.25,M,2.01
TEX,NA,6,2.00,0.51,M,2.01
TEX,NA,5,2.00,0,M,0
TEX,NA,6,2.00,0,M,2.01
TEX,NA,6,2.00,0.25,M,2.01
TEX,NA,7,1.00,0.25,M,4.02
TEX,NA,7,1.00,0.25,M,4.02
TEX,NA,7,1.00,0.25,M,4.02
TEX,NA,7,2.00,0,M,4.02
TEX,NA,7,0.00,0.25,M,4.02
TEX,NA,7,1.00,0.25,M,4.02
TEX,NA,7,1.00,0,M,4.02
TEX,NA,6,1.00,0.25,M,2.01
TEX,NA,6,2.00,0.25,M,2.01
TEX,NA,6,2.00,0,M,2.01
TEX,NA,6,1.00,0.25,M,2.01
TEX,NA,5,1.00,0.25,M,0
TEX,NA,5,1.00,0.25,M,0
TEX,NA,5,1.00,0.25,M,0
TEX,NA,4,1.00,0.25,M,0
TEX,NA,3,1.00,0,M,0
TEX,NA,3,0.00,0,M,0
TEX,NA,3,0.00,0,M,0
TEX,NA,3,0.00,0,M,0
TEX,NA,3,0.00,0,M,0
TEX,NA,3,0.00,0,M,0
TEX,NA,3,1.00,0,M,0
TEX,NA,3,0.00,0,M,0
TEX,NA,3,0.00,0,M,0
TEX,NA,3,0.00,0,M,0
TEX,NA,2,0.00,0,M,0
TEX,NA,3,0.00,0,M,0
TEX,NA,3,-1.00,0,M,0
TEX,NA,2,0.00,0,M,0
TEX,NA,2,0.00,0,M,0
TEX,NA,2,0.00,0,M,0
TEX,NA,2,0.00,0,M,0
TEX,NA,1,0.00,0,M,0
TEX,NA,2,0.00,0,M,0
TEX,NA,2,0.00,0,M,0
TEX,NA,2,0.00,0,M,0
TEX,NA,2,0.00,0,M,0
TEX,NA,1,0.00,0,M,0
TEX,NA,1,0.00,0,M,0
TEX,NA,1,0.00,0,M,0
TEX,NA,1,0.00,0,M,0
TEX,NA,0,0.00,0,M,0
TEX,NA,0,0.00,0,M,0
TEX,NA,0,-1.00,0,M,0
TEX,NA,1,-1.00,0,M,0
TEX,NA,1,0.00,0,M,0
TEX,NA,2,-1.00,0,M,0
TEX,NA,2,0.00,0,M,0
TEX,NA,3,0.00,0,M,0
TEX,NA,4,-1.00,0,M,0
TEX,NA,5,-1.00,0,M,0
TEX,NA,6,-4.00,0,M,2.01
TEX,NA,6,-4.00,0,M,2.01
TEX,NA,7,-4.00,0,M,4.02
TEX,NA,7,-4.00,0,M,4.02
TEX,NA,7,-5.00,0,M,4.02
TEX,NA,7,-7.00,0,M,4.02
TEX,NA,8,-5.00,0,M,6.029999999999999
TEX,NA,7,-5.00,0,M,4.02
TEX,NA,8,-5.00,0,M,6.029999999999999
TEX,NA,8,-6.00,0,M,6.029999999999999
TEX,NA,8,-5.00,0,M,6.029999999999999
TEX,NA,10,-6.00,0,M,10.049999999999999
TEX,NA,9,-5.00,0,M,8.04
TEX,NA,10,-6.00,0,M,10.049999999999999
TEX,NA,10,-7.00,0,M,10.049999999999999
TEX,NA,10,-8.00,0,M,10.049999999999999
TEX,NA,11,-8.00,0,M,12.059999999999999
TEX,NA,10,-8.00,0,M,10.049999999999999
TEX,NA,11,-8.00,0,M,12.059999999999999
TEX,NA,10,-8.00,0,M,10.049999999999999
TEX,NA,10,-6.00,0,M,10.049999999999999
TEX,NA,10,-6.00,0,M,10.049999999999999
TEX,NA,10,-6.00,0,M,10.049999999999999
TEX,NA,9,-6.00,0,M,8.04
TEX,NA,9,-6.00,0,M,8.04
TEX,NA,8,-6.00,0,M,6.029999999999999
TEX,NA,7,-5.00,0,M,4.02
TEX,NA,7,-5.00,0,M,4.02
TEX,NA,7,-4.00,0,M,4.02
TEX,NA,6,-3.00,0,M,2.01
TEX,NA,6,-3.00,0,M,2.01
TEX,NA,5,-2.00,0,M,0
TEX,NA,4,-2.00,0,M,0
TEX,NA,4,-2.00,0,M,0
TEX,NA,3,-2.00,0,M,0
TEX,NA,3,-2.00,0,M,0
TEX,NA,3,-2.00,0,M,0
TEX,NA,3,-2.00,0,M,0
TEX,NA,3,-2.00,0,M,0
TEX,NA,3,-2.00,0,M,0
TEX,NA,3,-3.00,0,M,0
TEX,NA,3,-2.00,0,M,0
TEX,NA,2,-2.00,0,M,0
TEX,NA,2,-2.00,0,M,0
TEX,NA,2,-2.00,0,M,0
TEX,NA,2,-2.00,0,M,0
TEX,NA,2,-2.00,0,M,0
TEX,NA,2,-2.00,0,M,0
TEX,NA,2,-2.00,0,M,0
TEX,NA,2,-2.00,0,M,0
TEX,NA,2,-2.00,0,M,0
TEX,NA,2,-2.00,0,M,0
TEX,NA,2,-3.00,0,M,0
TEX,NA,1,-2.00,0,M,0
TEX,NA,1,-2.00,0,M,0
TEX,NA,1,-2.00,0,M,0
TEX,NA,1,-2.00,0,M,0
TEX,NA,1,-3.00,0,M,0
TEX,NA,1,-3.00,0,M,0
TEX,NA,1,-3.00,0,M,0
TEX,NA,1,-3.00,0,M,0
TEX,NA,1,-2.00,0,M,0
TEX,NA,1,-2.00,0,M,0
TEX,NA,1,-2.00,0,M,0
TEX,NA,1,-2.00,0,M,0
TEX,NA,1,-3.00,0,M,0
TEX,NA,2,-3.00,0,M,0
TEX,NA,2,-3.00,0,M,0
TEX,NA,3,-2.00,0,M,0
TEX,NA,3,-2.00,0,M,0
TEX,NA,5,-3.00,0,M,0
TEX,NA,6,-3.00,0,M,2.01
TEX,NA,7,-3.00,0,M,4.02
TEX,NA,10,-5.00,0,M,10.049999999999999
TEX,NA,10,-6.00,0,M,10.049999999999999
TEX,NA,11,-6.00,0,M,12.059999999999999
TEX,NA,11,-5.00,0,M,12.059999999999999
TEX,NA,12,-6.00,0,M,14.069999999999999
TEX,NA,NA,M,0,M,NA
TEX,NA,12,-6.00,0,M,14.069999999999999
TEX,NA,12,-7.00,0,M,14.069999999999999
TEX,NA,13,-6.00,0,M,16.08
TEX,NA,12,-6.00,0,M,14.069999999999999
TEX,NA,12,-6.00,0,M,14.069999999999999
TEX,NA,12,-6.00,0,M,14.069999999999999
TEX,NA,12,-5.00,0,M,14.069999999999999
TEX,NA,12,-5.00,0,M,14.069999999999999
TEX,NA,12,-5.00,0,M,14.069999999999999
TEX,NA,11,-4.00,0,M,12.059999999999999
TEX,NA,10,-4.00,0,M,10.049999999999999
TEX,NA,10,-3.00,0,M,10.049999999999999
TEX,NA,9,-3.00,0,M,8.04
TEX,NA,8,-3.00,0,M,6.029999999999999
TEX,NA,8,-3.00,0,M,6.029999999999999
TEX,NA,8,-4.00,0,M,6.029999999999999
TEX,NA,8,-3.00,0,M,6.029999999999999
TEX,NA,7,-3.00,0,M,4.02
TEX,NA,6,-2.00,0,M,2.01
TEX,NA,6,-2.00,0,M,2.01
TEX,NA,6,-3.00,0,M,2.01
TEX,NA,5,-2.00,0,M,0
TEX,NA,5,-2.00,0,M,0
TEX,NA,4,-2.00,0,M,0
TEX,NA,5,-2.00,0,M,0
TEX,NA,4,-2.00,0,M,0
TEX,NA,3,-2.00,0,M,0
TEX,NA,3,-2.00,0,M,0
TEX,NA,3,-2.00,0,M,0
TEX,NA,3,-2.00,0,M,0
TEX,NA,11,-9.00,0,M,12.059999999999999
TEX,NA,13,-8.00,0,M,16.08
TEX,NA,13,-11.00,0,M,16.08
TEX,NA,13,-9.00,0,M,16.08
TEX,NA,15,-8.00,0,M,20.099999999999998
TEX,NA,15,-8.00,0,M,20.099999999999998
TEX,NA,15,-8.00,0,M,20.099999999999998
TEX,NA,15,-8.00,0,M,20.099999999999998
TEX,NA,16,-8.00,0,M,22.11
TEX,NA,16,-8.00,0,M,22.11
TEX,NA,16,-7.00,0,M,22.11
TEX,NA,16,-7.00,0,M,22.11
TEX,NA,16,-7.00,0,M,22.11
TEX,NA,16,-6.00,0,M,22.11
TEX,NA,16,-6.00,0,M,22.11
TEX,NA,16,-6.00,0,M,22.11
TEX,NA,16,-6.00,0,M,22.11
TEX,NA,16,-6.00,0,M,22.11
TEX,NA,16,-5.00,0,M,22.11
TEX,NA,16,-5.00,0,M,22.11
TEX,NA,15,-5.00,0,M,20.099999999999998
TEX,NA,15,-4.00,0,M,20.099999999999998
TEX,NA,14,-4.00,0,M,18.089999999999996
TEX,NA,13,-3.00,0,M,16.08
TEX,NA,13,-3.00,0,M,16.08
TEX,NA,12,-2.00,0,M,14.069999999999999
TEX,NA,11,-2.00,0,M,12.059999999999999
TEX,NA,11,-2.00,0,M,12.059999999999999
TEX,NA,10,-2.00,0,M,10.049999999999999
TEX,NA,10,-2.00,0,M,10.049999999999999
TEX,NA,9,-2.00,0,M,8.04
TEX,NA,8,-2.00,0,M,6.029999999999999
TEX,NA,8,-1.00,0,M,6.029999999999999
TEX,NA,7,-1.00,0,M,4.02
TEX,NA,7,-1.00,0,M,4.02
TEX,NA,7,-1.00,0,M,4.02
TEX,NA,7,-1.00,0,M,4.02
TEX,NA,6,-1.00,0,M,2.01
TEX,NA,6,-1.00,0,M,2.01
TEX,NA,6,-1.00,0,M,2.01
TEX,NA,6,-1.00,0,M,2.01
TEX,NA,5,-1.00,0,M,0
TEX,NA,5,-1.00,0,M,0
TEX,NA,5,-1.00,0,M,0
TEX,NA,5,-1.00,0,M,0
TEX,NA,5,-1.00,0,M,0
TEX,NA,5,-1.00,0,M,0
TEX,NA,4,-1.00,0,M,0
TEX,NA,3,-1.00,0,M,0
TEX,NA,4,-1.00,0,M,0
TEX,NA,4,-2.00,0,M,0
TEX,NA,3,-2.00,0,M,0
TEX,NA,16,-7.00,0,M,22.11
TEX,NA,16,-7.00,0,M,22.11
TEX,NA,16,-8.00,0,M,22.11
TEX,NA,15,-8.00,0,M,20.099999999999998
TEX,NA,14,-8.00,0,M,18.089999999999996
