year,month,date,hour,cloud_type,cloud_fraction,p01mm,precip_m,temp_F,temp_C,relh,es,ea,albedo,cumulative,eps_all,lw_down,lw_up,lw_net,datetime,J,LST,Gamma,E0,delta,Et,t_delta_SN,Ccloud,cos_Z,HK_in,HK_star,sw_net,Q_precip,,Qcum,0
2023,Oct,10/1/2023,0,Scattered,0.375,0,0,60.8,16,20.50666667,18.19,3.73,0.204931245,0,0.671847721,266.2849944,396.3472465,-130.0622521,10/1/2023,274,0,4.699478326,0.997671531,-0.050016542,0.177647358,-12.01581264,0.25,-0.818256325,0,0,0,0,-130.0622521,0,
2023,Oct,10/1/2023,1,Broken,0.458333333,0,0,60.2,15.7,21.07333333,17.81,3.75,0.219321918,0,0.671902504,265.2032279,394.7049259,-129.501698,10/1/2023 1:00,274,1,4.699478326,0.997671531,-0.050016542,0.177647358,-11.01581264,0.75,-0.792266441,0,0,0,0,-129.501698,-129.501698,
2023,Oct,10/1/2023,2,Scattered,0.541666667,0,0,59,15,22.95,17.06,3.92,0.233010749,0,0.672361629,262.8212493,390.8926951,-128.0714459,10/1/2023 2:00,274,2,4.699478326,0.997671531,-0.050016542,0.177647358,-10.01581264,0.25,-0.714380407,0,0,0,0,-128.0714459,-257.5731439,
2023,Oct,10/1/2023,3,Scattered,0.375,0,0,58.4,14.7,24.67,16.7,4.12,0.246031969,0,0.672887564,261.9331681,389.2673639,-127.3341958,10/1/2023 3:00,274,3,4.699478326,0.997671531,-0.050016542,0.177647358,-9.015812642,0.25,-0.589906028,0,0,0,0,-127.3341958,-384.9073397,
2023,Oct,10/1/2023,4,Scattered,0.25,0,0,59.6,15.3,21.91333333,17.43,3.82,0.258418136,0,0.672092952,263.8120164,392.5231108,-128.7110945,10/1/2023 4:00,274,4,4.699478326,0.997671531,-0.050016542,0.177647358,-8.015812642,0.25,-0.427326028,0,0,0,0,-128.7110945,-513.6184341,
2023,Oct,10/1/2023,5,Scattered,0.25,0,0,59,15,21.82333333,17.06,3.72,0.270200222,0,0.671820268,262.6096352,390.8926951,-128.2830599,10/1/2023 5:00,274,5,4.699478326,0.997671531,-0.050016542,0.177647358,-7.015812642,0.25,-0.237719964,0,0,0,0,-128.2830599,-641.9014941,
2023,Oct,10/1/2023,6,Clear,0,0,0,59,15,21.26,17.06,3.63,0.28140769,0,0.671571291,262.5123119,390.8926951,-128.3803832,10/1/2023 6:00,274,6,4.699478326,0.997671531,-0.050016542,0.177647358,-6.015812642,0,-0.034009177,0,0,0,0,-128.3803832,-770.2818773,
2023,Oct,10/1/2023,7,Clear,0.125,0,0,57.2,14,23.28333333,15.99,3.72,0.292068562,0,0.671820268,258.9831108,385.4946377,-126.5115269,10/1/2023 7:00,274,7,4.699478326,0.997671531,-0.050016542,0.177647358,-5.015812642,0,0.16992378,220.1576904,155.8565504,155.8565504,0,29.34502348,-740.9368538,
2023,Oct,10/1/2023,8,Scattered,0.375,0,0,55.4,13,28.2,14.98,4.23,0.302209498,0,0.673170662,255.9076333,380.1526829,-124.2450496,10/1/2023 8:00,274,8,4.699478326,0.997671531,-0.050016542,0.177647358,-4.015812642,0.25,0.360181213,383.1525796,267.3602309,267.3602309,0,143.1151813,-597.8216725,
2023,Oct,10/1/2023,9,Scattered,0.375,0,0,54.8,12.7,27.41333333,14.66,4.02,0.311855855,0,0.672626452,254.6301274,378.5609781,-123.9308507,10/1/2023 9:00,274,9,4.699478326,0.997671531,-0.050016542,0.177647358,-3.015812642,0.25,0.523797393,557.2037486,383.4364972,383.4364972,0,259.5056465,-338.3160261,
