date	hour	SWE_mm	temp_C
10/1/23	0	0.0	16.0
10/1/23	1	0.0	15.7
10/1/23	2	0.0	15.0
10/1/23	3	0.0	14.7
10/1/23	4	0.0	15.3
10/1/23	5	0.0	15.0
10/1/23	6	0.0	15.0
10/1/23	7	0.0	14.0
10/1/23	8	0.0	13.0
10/1/23	9	0.0	12.7
10/1/23	10	0.0	12.0
10/1/23	11	0.0	12.0
10/1/23	12	0.0	12.0
10/1/23	13	0.0	12.0
10/1/23	14	0.0	12.0
10/1/23	15	0.0	12.7
10/1/23	16	0.0	13.3
10/1/23	17	0.0	13.3
10/1/23	18	0.0	13.3
10/1/23	19	0.0	13.3
10/1/23	20	0.0	13.3
10/1/23	21	0.0	13.3
10/1/23	22	0.0	13.3
10/1/23	23	0.0	13.3
10/2/23	0	0.0	13.3
10/2/23	1	0.0	13.3
10/2/23	2	0.0	14.0
10/2/23	3	0.0	14.3
10/2/23	4	0.0	13.3
10/2/23	5	0.0	11.7
10/2/23	6	0.0	10.3
10/2/23	7	0.0	8.0
10/2/23	8	0.0	7.7
10/2/23	9	0.0	8.3
10/2/23	10	0.0	7.3
10/2/23	11	0.0	9.3
10/2/23	12	0.0	10.0
10/2/23	13	0.0	11.0
10/2/23	14	0.0	11.0
10/2/23	15	0.0	10.0
10/2/23	16	0.0	8.0
10/2/23	17	0.0	8.0
10/2/23	18	0.0	14.7
10/2/23	19	0.0	15.0
10/2/23	20	0.0	16.0
10/2/23	21	0.0	16.0
10/2/23	22	0.0	15.0
10/2/23	23	0.0	15.0
10/3/23	0	0.0	14.3
10/3/23	1	0.0	7.0
10/3/23	2	0.0	6.3
10/3/23	3	0.0	5.7
10/3/23	4	0.0	4.7
10/3/23	5	0.0	3.0
10/3/23	6	0.0	3.0
10/3/23	7	0.0	3.0
10/3/23	8	0.0	2.7
10/3/23	9	0.0	2.3
10/3/23	10	0.0	1.7
10/3/23	11	0.0	2.0
10/3/23	12	0.0	1.3
10/3/23	13	0.0	0.7
10/3/23	14	0.0	0.3
10/3/23	15	0.0	1.7
10/3/23	16	0.0	4.0
10/3/23	17	0.0	6.3
10/3/23	18	0.0	10.7
10/3/23	19	0.0	11.0
10/3/23	20	0.0	8.0
10/3/23	21	0.0	7.3
10/3/23	22	0.0	6.3
10/3/23	23	0.0	5.7
10/4/23	0	0.0	7.0
10/4/23	1	0.0	8.0
10/4/23	2	0.0	6.7
10/4/23	3	0.0	5.0
10/4/23	4	0.0	3.3
10/4/23	5	0.0	3.0
10/4/23	6	0.0	3.0
10/4/23	7	0.0	2.0
10/4/23	8	0.0	2.0
10/4/23	9	0.0	2.0
10/4/23	10	0.0	1.7
10/4/23	11	0.0	1.0
10/4/23	12	0.0	1.0
10/4/23	13	0.0	1.0
10/4/23	14	0.0	1.0
10/4/23	15	0.0	2.3
10/4/23	16	0.0	4.7
10/4/23	18	0.0	7.0
10/4/23	19	0.0	7.0
10/4/23	20	0.0	7.7
10/4/23	21	0.0	8.7
10/4/23	22	0.0	9.7
10/4/23	23	0.0	10.3
10/5/23	0	0.0	10.3
10/5/23	1	0.0	9.7
10/5/23	2	0.0	9.0
10/5/23	3	0.0	8.0
10/5/23	4	0.0	6.3
10/5/23	5	0.0	5.3
10/5/23	16	0.0	4.3
